Company,Fine_Amount,Date,Sector,Type,Country,Authority,Source_URL,PDF_URL
Gegen die Bescheide über die Festsetzung von Kapitalertragsteuer und Solidaritäts-zugschlag,,2021-04-12,Finanzgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/fg-dusseldorf-2021-04-12-6-k-313318-ke,
dass auch externes Controlling kein Garant für die Einhaltung des Budgets sei. Ein möglicherweise,,2020-09-10,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-koln-2020-09-10-19-k-477018,
nach Maßgabe der ausgeurteilten Kostenquote seit Zahlung des Gerichtskostenvorschusses bis zum Tag,,2022-01-20,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-stuttgart-2022-01-20-30-o-17619,
inwieweit trotz der erheblichen Spannbreite der für die acht Stützintervalle ermittelten Ergebnisse,,2022-03-16,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2022-03-16-3-kart-12819-v,
müsse hier jedenfalls ein überwiegender Prozentsatz der Gesamtkosten des Minigolfplatzes in Abzug,,2020-07-31,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2020-07-31-2-s-277719,
wonach es für die Managementbeteiligten für den Zeitraum von einem Jahr nach dem ersten Handelstag,,2020-02-26,Finanzgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/fg-baden-wurttemberg-2020-02-26-2-k-177417,
dass der Anspruch auf Bezüge grundsätzlich auf die Zahlung von Bruttobezügen gerichtet ist. Diese,,2019-12-10,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2019-12-10-4-s-222718,
dass es als rein theoretische Besorgnis außer Betracht bleiben kann. Auch wenn es beispielsweise,,2022-03-21,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-hannover-2022-03-21-12-a-309817,
dass die LP-Filterparameter lediglich in die Berechnung mit einfließen. Dass die LSF näherungsweise,,2021-08-19,Ordentliche Gerichtsbarkeit,Endurteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-munchen-ii-2021-08-19-7-o-1535019,
um den von der Beigeladenen vorgetragenen Bedenken Rechnung zu tragen. Ein entsprechender Vertrag,,2022-02-22,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-02-22-6-s-125120,
sich weiterer Rechtsstreitigkeiten mit den Minderheitsgesellschaftern zu entledigen oder gewisse,,2021-03-18,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-mannheim-2021-03-18-21-o-120,
ERegG betonten Zweck der Anreizsetzung zur effizienten Nutzung der Schienenwege gerecht wird. Diese,,2020-07-10,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-koln-2020-07-10-18-k-310817,
and a transmitter adapted to transmit the aperiodic channel quality information report to the base,,2022-02-02,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgkarl-2022-02-02-6-u-14920,
Demnach hätte eine Übertragung der Rechte und Pflichten aus dem streitgegenständlichen Pachtvertrag,,2019-10-24,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgkobl-2019-10-24-u-32818-kart,
der nach der bisherigen Rechtsprechung entweder durch eine Entleerung der Aufgaben und Befugnisse,,2020-02-13,Verfassungsgerichtsbarkeit,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/bverfg-2020-02-13-2-bvr-73917,
wenn mit der Ausübung des in Rede stehenden Berufs in der Gemeinde infolge dieser Steuer nach Abzug,,2021-01-19,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2021-01-19-2-s-153519,
Bedenken bezüglich einer doppelten Rechtshängigkeit können sich aufgrund der Aufteilung der C AG,,2021-08-13,Ordentliche Gerichtsbarkeit,Teilurteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-koln-2021-08-13-32-o-48619,
allerdings sehr variabel in großflächigen Bereichen. Die örtliche Lage der insoweit möglicherweise,,2021-03-11,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/ovgnrw-2021-03-11-21-a-4917,
so dass die Disponenten an jedem System bzw. Lokation arbeiten können. Wir bestätigen hiermit diese,,2022-09-19,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgsh-2022-09-19-54-verg-322,
welchen Marktanteil ihr Versicherungsvergleich abdeckt. Der Versicherungsnehmer hat ein Interesse,,2021-09-22,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgkarl-2021-09-22-6-u-8220,
tisch im Verwaltungsrat vertreten. Weitere Gelder erhielt die THS aus dem Kohlenpreisaufschlag,,2019-08-27,Arbeitsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lagham-2019-08-27-9-sa-115417,
dass der betreffende Journalist Anstiftung oder Beihilfe zum Geheimnisverrat geleistet habe. Diese,,2019-02-22,Verwaltungsgerichtsbarkeit,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-hannover-2019-02-22-6-b-519318,
auflagen- und plangerechte Durchführung der naturschutzfachlichen Maßnahmen zu gewährleisten. Diese,,2022-06-30,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-06-30-10-s-84821,
dass und in welcher Höhe Umsatzverluste bei einer Fortführung der streitgegenständlichen open-house,,2021-08-09,Sozialgerichtsbarkeit,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lsgbw-2021-08-09-l-11-kr-202821-er-b,
Die Bundesnetzagentur hat sich in der streitgegenständlichen Festlegung auch in ausreichender Weise,,2022-03-16,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2022-03-16-3-kart-19119-v,
für eingebrachte Vergütungsanteile auch Arbeitgeberanteile zum Gesamtsozialversicherungsbeitrag,,2022-07-22,Sozialgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lsgbw-2022-07-22-l-4-ba-360520,
erfassten gewerblichen Gewinne einvernehmlich und in einer für beide Seiten verbindlichen Weise,,2019-03-14,Finanzgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/fg-baden-wurttemberg-2019-03-14-3-k-272817,
zu empfangenden Programmangebots des öffentlich-rechtlichen Rundfunks durch den Rundfunkbeitrag,,2019-03-01,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-freiburg-2019-03-01-9-k-867117,
nur noch zur Vergütung der Produkte des Zuschlagsempfängers berechtigt zu sein. Zum einen sei diese,,2021-10-15,Sozialgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lsgbw-2021-10-15-l-4-kr-300918,
